Key,Type,Description,Address,DateTime,Latitude,Longitude,City,Website
https://spotcrime.com/crime/146870959-a0e8048db56f8657a02ecca964d28065,Shooting,A 32 Year Old Man Was Shot In The Torso And Arm,"900 BLOCK OF HALSEY ST, Greenwich Village, NY",2020-09-17 07:53:00+03:00,40.6860853,-73.9151593,new york,spotcrime
https://spotcrime.com/crime/146870960-ab60f7c880787c401dcb2263ef5e5dd2,Shooting,"One Of The Occupants Began Shooting At The Pursuing Vehicle,","EAST 88TH STREET AND FOSTER AVENUE, Greenwich Village, NY",2020-09-17 03:06:00+03:00,40.780178,-73.953652,new york,spotcrime
https://spotcrime.com/crime/146870957-ae47640c491cf88d793118935afeb308,Shooting,A 19 Year Old Man Male Walking With A Girlfriend Was Shot In The Right Thigh,"100 BLOCK OF AVENUE D, Greenwich Village, NY",2020-09-15 09:00:00+03:00,40.7335719,-74.0027418,new york,spotcrime
https://spotcrime.com/crime/146729621-c77b48f096ae68fbb1dc50662a091a93,Assault,"Felony Assault. 1,UNCLASSIFIED","BROADWAY/W 192 ST, Manhattan, NY",2020-09-14 07:51:00+03:00,40.8578398,-73.9320599,new york,spotcrime
https://spotcrime.com/crime/146729211-86fa4cdc1f681a2bb537db0b6a05db58,Assault,"Felony Assault. 1,UNCLASSIFIED","E 138 ST/ALEXANDER AV, The Bronx, NY",2020-09-14 07:51:00+03:00,40.810062,-73.9251383,new york,spotcrime
https://spotcrime.com/crime/146728248-4abf9deefa44b4e01034d877abe058b2,Assault,"Felony Assault. 1,UNCLASSIFIED","GUY R BREWER BL /BAISLEY BL, Queens, NY",2020-09-14 07:51:00+03:00,40.6783598,-73.7794503,new york,spotcrime
https://spotcrime.com/crime/146727691-08dc57f73dd83aeddebf4b462c9cdc8b,Assault,Rape 1. INTERCOURSE,"100 BLOCK OF LOISAIDA AVE, Manhattan, NY",2020-09-14 07:51:00+03:00,40.7246956,-73.9784071,new york,spotcrime
https://spotcrime.com/crime/146726956-88ab402588424c090391e783b7432d12,Burglary,"Burglary. RESIDENCE,NIGHT","75-6 153RD ST, Queens, NY",2020-09-14 07:51:00+03:00,40.72594,-73.8138941,new york,spotcrime
https://spotcrime.com/crime/146727769-ccd6908ea537722f23f4451df68173d7,Assault,Rape 1. Domestic,"00 BLOCK OF 59TH ST, Brooklyn, NY",2020-09-14 07:51:00+03:00,40.6425384,-74.0196516,new york,spotcrime
https://spotcrime.com/crime/146725853-0af2030fa9185e09f9b7c2d748ab467d,Assault,Misd. Assault. ASSAULT 3,"1800 BLOCK OF PARK AVE, Manhattan, NY",2020-09-14 07:51:00+03:00,40.805676,-73.9384069,new york,spotcrime
https://spotcrime.com/crime/146725197-d3fe1e1045db7d4304e8b26ba9abb5bf,Assault,Misd. Assault. ASSAULT 3,"800 BLOCK OF 6TH AVE, Manhattan, NY",2020-09-14 07:51:00+03:00,40.7485103,-73.9887102,new york,spotcrime
https://spotcrime.com/crime/146725789-6a9efc65aa342aa03875710c5fa64a05,Assault,Misd. Assault. ASSAULT 3,"N/A, Queens, NY",2020-09-14 07:51:00+03:00,40.7862899,-73.8363299,new york,spotcrime
https://spotcrime.com/crime/146725317-4948c902ea35fead2af21406cb87fe5a,Assault,Misd. Assault. ASSAULT 3,"N/A, Brooklyn, NY",2020-09-14 07:51:00+03:00,40.6921497,-73.9843201,new york,spotcrime
https://spotcrime.com/crime/146724908-29065e322b4cc281b7cfab0166dbaba9,Assault,Misd. Assault. ASSAULT 3,"00 BLOCK OF HOLLAND AVE, Staten Island, NY",2020-09-14 07:51:00+03:00,40.640509,-74.1712904,new york,spotcrime
https://spotcrime.com/crime/146725105-f4d70bc1daefeb9db6af011b8f5ade0f,Assault,Misd. Assault. ASSAULT 3,"4500 BLOCK OF 20TH AVE, Queens, NY",2020-09-14 07:51:00+03:00,40.7739202,-73.8980797,new york,spotcrime
https://spotcrime.com/crime/146724920-9ae8a4ea5f89e1f57e2dfa7bb2296cb1,Assault,Misd. Assault. ASSAULT 3,"300 BLOCK OF DUMONT AVE, Brooklyn, NY",2020-09-14 07:51:00+03:00,40.6646661,-73.90557,new york,spotcrime
https://spotcrime.com/crime/146724122-d2eb2475c36163e187ca01448b1cb8cf,Assault,Misd. Assault. ASSAULT 3,"5500 BLOCK OF 6TH AVE, Brooklyn, NY",2020-09-14 07:51:00+03:00,40.6404092,-74.0115937,new york,spotcrime
https://spotcrime.com/crime/146723127-174e0eb416229c84a484ffe12b15f11b,Assault,Misd. Assault. ASSAULT 3,"GRAND CONCOURSE/E 156 ST, The Bronx, NY",2020-09-14 07:51:00+03:00,40.8234599,-73.9244498,new york,spotcrime
https://spotcrime.com/crime/146721141-db30fd709c146d086f98632d14f8dc5b,Theft,Petit Larceny. PETIT FROM STORE..,"NOSTRAND AV/AV Z, Brooklyn, NY",2020-09-14 07:51:00+03:00,40.5895504,-73.9397935,new york,spotcrime
https://spotcrime.com/crime/146720627-2874968951b8e8815cf1603f526e637b,Theft,Petit Larceny. PETIT FROM STORE..,"200 BLOCK OF DUANE ST, Manhattan, NY",2020-09-14 07:51:00+03:00,40.7152306,-74.0054158,new york,spotcrime
https://spotcrime.com/crime/146721001-b1ab4f784a668832dbb46c3eb9aa5a56,Theft,Petit Larceny. PETIT FROM STORE..,"00 BLOCK OF AV/37 ST, Brooklyn, NY",2020-09-14 07:51:00+03:00,40.6550144,-74.0070846,new york,spotcrime
https://spotcrime.com/crime/146721444-ae33e915bc56881ebad97e00ff0edf9f,Theft,Petit Larceny. PETIT FROM STORE..,"100 BLOCK OF SPRING ST, Manhattan, NY",2020-09-14 07:51:00+03:00,40.7241723,-74.0011277,new york,spotcrime
https://spotcrime.com/crime/146720423-fd89a75b385d7bcf4e776cccecceadee,Theft,Petit Larceny. PETIT FROM BUILD..,"2900 BLOCK OF BRIGHTON 2ND PL, Brooklyn, NY",2020-09-14 07:51:00+03:00,40.5797202,-73.9659,new york,spotcrime
https://spotcrime.com/crime/146719442-68ecb542bb31a892b2d60abc46453d04,Theft,Petit Larceny. PETIT FROM STORE..,"100 BLOCK OF STREET STATION, Manhattan, NY",2020-09-14 07:51:00+03:00,40.8077933,-73.9455487,new york,spotcrime
https://spotcrime.com/crime/146718997-338f3df941fab1a2524ad00fe8ac2379,Theft,Petit Larceny. PETIT FROM STORE..,"61-11 173RD ST, Queens, NY",2020-09-14 07:51:00+03:00,40.7378297,-73.79643,new york,spotcrime
https://spotcrime.com/crime/146719610-8df5d34c702cd2f2e42aa31570a377d6,Theft,Petit Larceny. PETIT FROM OPEN ..,"400 BLOCK OF 5TH AVE, Manhattan, NY",2020-09-14 07:51:00+03:00,40.7521983,-73.9818329,new york,spotcrime
